0 1 2 3
0 1 4 5
0 1 6 7
0 1 8 9
0 1 A B
0 1 C D
0 1 E F
0 2 4 6
0 2 5 7
0 2 8 A
0 2 9 B
0 2 C E
0 2 D F
0 3 4 7
0 3 5 6
0 3 8 B
0 3 9 A
0 3 C F
0 3 D E
0 4 8 C
0 4 9 D
0 4 A E
0 4 B F
0 5 8 D
0 5 9 C
0 5 A F
0 5 B E
0 6 8 E
0 6 9 F
0 6 A C
0 6 B D
0 7 8 F
0 7 9 E
0 7 A D
0 7 B C
1 2 4 7
1 2 5 6
1 2 8 B
1 2 9 A
1 2 C F
1 2 D E
1 3 4 6
1 3 5 7
1 3 8 A
1 3 9 B
1 3 C E
1 3 D F
1 4 8 D
1 4 9 C
1 4 A F
1 4 B E
1 5 8 C
1 5 9 D
1 5 A E
1 5 B F
1 6 8 F
1 6 9 E
1 6 A D
1 6 B C
1 7 8 E
1 7 9 F
1 7 A C
1 7 B D
2 3 4 5
2 3 6 7
2 3 8 9
2 3 A B
2 3 C D
2 3 E F
2 4 8 E
2 4 9 F
2 4 A C
2 4 B D
2 5 8 F
2 5 9 E
2 5 A D
2 5 B C
2 6 8 C
2 6 9 D
2 6 A E
2 6 B F
2 7 8 D
2 7 9 C
2 7 A F
2 7 B E
3 4 8 F
3 4 9 E
3 4 A D
3 4 B C
3 5 8 E
3 5 9 F
3 5 A C
3 5 B D
3 6 8 D
3 6 9 C
3 6 A F
3 6 B E
3 7 8 C
3 7 9 D
3 7 A E
3 7 B F
4 5 6 7
4 5 8 9
4 5 A B
4 5 C D
4 5 E F
4 6 8 A
4 6 9 B
4 6 C E
4 6 D F
4 7 8 B
4 7 9 A
4 7 C F
4 7 D E
5 6 8 B
5 6 9 A
5 6 C F
5 6 D E
5 7 8 A
5 7 9 B
5 7 C E
5 7 D F
6 7 8 9
6 7 A B
6 7 C D
6 7 E F
8 9 A B
8 9 C D
8 9 E F
8 A C E
8 A D F
8 B C F
8 B D E
9 A C F
9 A D E
9 B C E
9 B D F
A B C D
A B E F
C D E F
